"","Basidiophora delawarensis","Basidiophora entospora","Basidiophora simplex","Benua kellermanii","Bremia lactucae","Hyaloperonospora arabidis-oxyphyllae","Hyaloperonospora arabidopsidis","Hyaloperonospora barbareae","Hyaloperonospora brassicae","Hyaloperonospora cakiles","Hyaloperonospora camelinae","Hyaloperonospora cardamines-laciniatae","Hyaloperonospora cheiranthi","Hyaloperonospora cochleariae","Hyaloperonospora daughtreyae","Hyaloperonospora dentariae","Hyaloperonospora erophilae","Hyaloperonospora floerkeae","Hyaloperonospora galligena","Hyaloperonospora hesperidis","Hyaloperonospora iberidis","Hyaloperonospora lobulariae","Hyaloperonospora nasturtii-aquatici","Hyaloperonospora nasturtii-palustiris","Hyaloperonospora parasitica","Hyaloperonospora sisymbrii-intermedii","Hyaloperonospora sisymbrii-officinalis","Hyaloperonospora sisymbrii-sophiae","Hyaloperonospora sp","Paraperonospora artemisiae-biennis","Paraperonospora leptosperma","Paraperonospora sulphurea","Peronosclerospora sorghi","Peronospora aestivalis","Peronospora aestivalis f. lupulinae","Peronospora agrimoniae","Peronospora agrostemmatis","Peronospora alsinearum","Peronospora alta","Peronospora amaranthi","Peronospora americana","Peronospora androsaces","Peronospora antirrhini","Peronospora aparines","Peronospora arborescens","Peronospora arthuri","Peronospora arthurii","Peronospora astragali","Peronospora belbahrii","Peronospora borealis","Peronospora calotheca","Peronospora calotheca var. galii-vaillantii","Peronospora canadensis","Peronospora capsici","Peronospora chamaesycis","Peronospora chenopodii","Peronospora choi","Peronospora claytoniae","Peronospora corydalis","Peronospora corydalis-intermediae","Peronospora cynoglossi","Peronospora cyparissiae","Peronospora davisii","Peronospora destructor","Peronospora dianthi","Peronospora dicentrae","Peronospora digitalidis","Peronospora dipsaci","Peronospora dipsaci-silvestris","Peronospora ducometii","Peronospora echinospermi","Peronospora effusa","Peronospora erigoni","Peronospora ervi","Peronospora euphorbiae","Peronospora euphorbiae-glyptospermae","Peronospora fabae","Peronospora ficariae","Peronospora fragariae","Peronospora gei","Peronospora giliae","Peronospora grisea","Peronospora hedeomatis","Peronospora hiemalis","Peronospora hydrophylli","Peronospora jaapiana","Peronospora jacksonii","Peronospora kuewa","Peronospora lamii","Peronospora lathyri-maritimi","Peronospora lini","Peronospora lithospermi","Peronospora lophanthi","Peronospora lotorum","Peronospora manshurica","Peronospora matthiolae","Peronospora melampyri","Peronospora mesembryanthemi","Peronospora monardae","Peronospora monolepidis","Peronospora muralis","Peronospora myosotidis","Peronospora narbonensis","Peronospora nemophilae","Peronospora obovata","Peronospora oxybaphi","Peronospora phlogina","Peronospora pisi","Peronospora plantaginis","Peronospora polygoni","Peronospora polygoni-convolvuli","Peronospora potentillae","Peronospora radii","Peronospora ranunculi","Peronospora ranunculi-peduncularis","Peronospora rubi","Peronospora rumicis","Peronospora saxifragae","Peronospora schachtii","Peronospora sepium","Peronospora seymourii","Peronospora silenes","Peronospora somniferi","Peronospora sordida","Peronospora sp","Peronospora sparsa","Peronospora stigmaticola","Peronospora swinglei","Peronospora tabacina","Peronospora trigonellae","Peronospora valerianae","Peronospora valerianellae","Peronospora variabilis","Peronospora vexans","Peronospora viciae","Peronospora viciicola","Peronospora violae","Peronospora whippleae","Plasmopara acalyphae","Plasmopara affinis f. affinis","Plasmopara affinis f. silphii","Plasmopara angustiterminalis f. ambrosiae","Plasmopara angustiterminalis f. bidentis","Plasmopara australis","Plasmopara cephalophora","Plasmopara cercidis","Plasmopara cissi","Plasmopara constantinescui","Plasmopara destructor","Plasmopara epilobii","Plasmopara geranii","Plasmopara gnaphalii","Plasmopara gonolobi","Plasmopara halstedii","Plasmopara helianthi","Plasmopara helianthi f. helianthi","Plasmopara helianthi f. patens","Plasmopara helianthi f. perennis","Plasmopara illinoensis","Plasmopara impatientis","Plasmopara lactucae-radicis","Plasmopara latifolii","Plasmopara megasperma","Plasmopara muralis","Plasmopara myosotidis","Plasmopara nivea","Plasmopara obducens","Plasmopara portoricensis","Plasmopara ribicola","Plasmopara sp","Plasmopara velutina","Plasmopara viburni","Plasmopara vincetoxici","Plasmopara viticola","Plasmopara wilsonii","Plasmoverna alpina","Plasmoverna fusca","Plasmoverna pygmaea","Plasmoverna sp","Pseudoperonospora celtidis","Pseudoperonospora cubensis","Pseudoperonospora humuli","Pseudoperonospora urticae","Sclerophthora gigaspora","Sclerophthora macrospora","Sclerospora farlowii","Sclerospora graminicola"
"1800",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1870",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,1
"1880",0,38,9,4,80,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,9,0,0,74,7,0,15,0,0,0,1,1,33,47,0,5,7,0,15,0,0,64,9,0,4,3,1,1,0,2,3,0,6,12,8,16,0,0,7,0,15,0,0,1,0,10,0,0,0,16,1,1,50,0,13,0,8,4,1,9,0,1,0,0,0,1,0,26,0,0,0,3,0,0,0,0,28,17,0,0,10,3,0,0,24,2,25,0,1,1,8,0,0,0,0,5,6,0,34,16,2,0,5,2,0,0,0,44,0,1,0,16,0,0,0,17,0,27,43,0,0,0,4,0,1,26,0,0,115,55,5,2,4,6,0,0,0,14,13,0,0,28,0,1,1,1,9,0,165,54,0,7,38,0,0,14,0,1,0,0,0,27
"1890",0,4,3,7,50,1,0,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,3,2,6,14,0,0,76,6,2,1,0,1,0,6,0,7,26,0,8,0,0,1,2,0,29,1,0,7,3,1,3,0,2,3,0,4,15,4,0,0,0,5,0,16,0,0,0,0,11,19,0,0,12,1,0,34,0,4,1,0,1,0,11,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,16,3,0,3,9,5,0,4,4,2,12,0,0,0,4,0,0,0,0,2,6,0,11,10,7,0,5,0,0,0,0,42,0,2,0,1,1,0,0,4,7,27,20,0,1,0,3,2,0,30,4,2,47,12,5,0,0,0,1,0,0,5,2,0,0,21,0,3,0,0,8,0,126,41,0,3,35,1,14,54,0,0,0,0,0,37
"1900",0,7,3,21,38,1,0,0,28,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,9,5,0,0,51,1,0,0,0,13,0,5,0,13,28,0,5,0,0,14,0,0,36,3,0,2,1,0,1,0,3,5,0,1,3,3,0,0,2,13,0,8,0,0,0,0,7,7,0,1,8,4,0,36,0,5,0,5,0,1,13,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,0,0,3,3,4,4,2,0,1,3,0,7,0,0,0,8,4,0,0,0,0,1,0,11,11,3,0,0,3,0,0,0,24,0,9,0,2,0,0,1,3,8,13,26,0,0,0,0,0,1,37,0,2,49,27,5,3,0,0,0,0,0,1,7,0,0,17,0,16,1,0,5,1,165,21,0,18,24,0,0,79,7,0,0,0,2,24
"1910",0,12,2,14,70,3,0,0,16,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,13,10,0,0,54,3,0,7,0,46,0,13,0,5,19,0,8,0,0,2,0,1,51,4,0,5,3,1,3,0,2,2,0,5,5,3,0,0,0,6,0,9,0,0,0,0,3,14,0,0,3,2,0,25,0,11,0,12,0,0,18,0,2,0,2,0,0,0,7,0,0,0,0,0,0,1,0,12,15,1,9,1,0,3,3,3,1,13,0,0,0,5,0,0,0,1,0,9,0,13,17,1,0,0,0,0,0,0,37,1,4,0,1,0,4,0,2,4,11,16,6,0,0,0,0,0,33,0,1,41,30,6,6,5,0,1,0,1,0,6,0,1,12,3,11,0,0,4,0,131,10,0,21,19,0,0,46,11,0,0,2,0,17
"1920",0,21,5,11,63,1,1,1,26,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,13,5,1,1,65,0,1,3,0,51,1,20,0,17,11,0,7,1,0,6,0,0,30,3,0,3,4,2,9,0,6,13,0,1,0,0,0,0,1,8,0,7,0,0,0,0,1,45,0,0,3,0,0,36,0,23,0,13,1,0,9,0,1,0,1,0,0,0,10,0,25,0,3,0,0,0,0,10,6,1,4,7,6,10,0,1,2,8,0,0,0,13,0,1,0,0,1,4,0,3,30,0,1,2,10,0,0,4,33,0,3,0,1,0,11,0,3,3,21,9,13,3,0,0,0,0,36,1,0,43,30,4,6,0,18,0,0,2,0,7,1,8,15,2,14,0,1,4,0,150,22,1,15,22,0,2,49,13,0,0,9,0,42
"1930",0,6,1,4,41,1,2,0,21,1,0,3,1,1,0,2,0,3,1,2,1,1,0,0,13,4,1,0,51,0,0,1,0,24,0,5,0,4,4,0,1,1,0,2,0,0,21,0,0,1,3,0,4,3,0,0,0,4,3,1,1,0,0,18,0,15,0,1,0,0,2,12,0,0,3,2,0,5,0,12,0,9,3,0,11,1,1,0,2,0,0,0,1,1,28,0,2,0,0,0,0,11,0,7,5,3,7,20,1,4,5,5,0,0,0,3,0,1,4,0,2,1,0,2,6,0,0,0,31,0,0,1,19,0,2,2,1,0,0,0,0,1,7,9,0,0,0,0,0,0,21,2,1,34,8,1,1,0,3,0,0,2,0,1,0,4,9,0,4,0,0,4,0,62,16,0,22,17,2,1,15,28,0,0,3,1,19
"1940",0,7,4,0,48,1,0,1,17,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,14,3,0,0,53,0,1,0,0,29,0,5,0,2,10,0,1,0,10,1,1,0,4,3,0,5,4,0,2,2,1,0,0,9,3,0,0,0,0,3,1,12,0,4,0,0,5,14,0,0,0,0,0,16,0,4,1,13,2,0,18,0,0,0,0,0,0,0,2,0,32,1,0,0,0,0,1,13,5,5,2,1,17,8,6,3,2,8,0,0,0,5,0,2,5,0,0,0,2,1,26,0,0,1,52,0,0,0,17,0,11,0,0,0,0,2,2,0,6,0,0,1,0,0,0,0,21,0,0,21,10,1,1,0,1,0,0,0,1,3,0,0,6,0,0,0,0,0,0,53,11,0,13,22,0,1,15,9,0,0,12,3,18
"1950",0,3,1,0,14,0,0,0,11,3,0,0,0,0,0,0,1,4,0,2,0,0,0,1,10,17,0,0,37,1,0,0,0,17,0,0,0,0,6,0,1,0,3,4,0,0,10,4,0,5,2,0,0,0,3,2,0,2,6,0,0,1,0,2,0,5,0,0,0,0,2,9,0,0,6,3,0,12,0,2,0,12,1,0,6,0,2,0,5,2,0,1,4,1,9,0,0,0,0,2,0,11,6,4,1,7,10,4,2,4,1,15,0,1,0,0,1,6,0,0,0,2,0,3,21,2,3,0,1,0,2,2,16,0,1,0,0,0,0,5,0,1,3,6,0,0,1,0,0,0,11,0,0,22,6,1,1,0,1,0,0,2,3,4,0,1,3,0,0,0,0,2,0,25,19,0,3,7,3,0,12,4,0,0,29,0,8
"1960",0,6,3,0,8,1,0,0,8,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,22,0,0,1,1,5,0,3,0,1,2,0,1,0,1,1,1,0,8,2,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,5,0,0,0,0,1,0,1,0,0,1,0,7,0,3,0,4,1,0,10,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,2,2,0,0,11,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,4,0,1,0,2,0,0,0,4,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,9,0,0,5,5,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,5,0,12,3,0,4,11,0,1,4,0,0,2,9,0,1
"1970",0,3,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,31,0,0,0,3,5,0,1,0,4,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,1,0,0,0,1,0,0,0,1,0,0
"1980",0,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,6,0,0,0,2,0,0,2,0,1,5,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,3,0,2,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,1,3,0,0,0,0,1,0,0,0,2,0,7,0,0,0,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,8,0,0,4,6,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,9,0,1,0,0,0,0,1,0,1
"1990",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,1,0,1
"2000",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0
"2010",1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,0,12,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
"2020",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
