"","cur_scientific_name","n"
"1","Plasmopara viticola",957
"2","Hyaloperonospora sp",549
"3","Bremia lactucae",454
"4","Plasmopara halstedii",430
"5","Pseudoperonospora cubensis",302
"6","Peronospora arthurii",277
"7","Plasmopara geranii",268
"8","Peronospora variabilis",265
"9","Peronospora ficariae",247
"10","Plasmoverna pygmaea",234
"11","Sclerospora graminicola",229
"12","Plasmopara wilsonii",207
"13","Peronospora aestivalis",204
"14","Plasmopara helianthi",200
"15","Peronospora alta",176
"16","Peronospora sp",165
"17","Hyaloperonospora brassicae",159
"18","Plasmopara australis",139
"19","Plasmopara obducens",135
"20","Peronospora effusa",134
"21","Plasmopara angustiterminalis f. bidentis",131
"22","Peronospora hydrophylli",130
"23","Peronospora dicentrae",128
"24","Basidiophora entospora",122
"25","Plasmoverna fusca",116
"26","Peronospora tabacina",111
"27","Peronospora potentillae",109
"28","Peronospora myosotidis",106
"29","Peronospora manshurica",104
"30","Hyaloperonospora parasitica",100
"31","Peronospora alsinearum",94
"32","Peronospora gei",92
"33","Peronospora grisea",90
"34","Sclerophthora macrospora",86
"35","Peronospora destructor",81
"36","Hyaloperonospora sisymbrii-intermedii",80
"37","Peronospora sordida",80
"38","Pseudoperonospora humuli",73
"39","Peronospora phlogina",71
"40","Peronospora agrimoniae",66
"41","Peronospora narbonensis",66
"42","Benua kellermanii",64
"43","Peronospora lophanthi",64
"44","Peronospora euphorbiae",60
"45","Peronospora echinospermi",59
"46","Peronospora corydalis",54
"47","Plasmopara muralis",54
"48","Peronospora rubi",53
"49","Plasmopara viburni",53
"50","Plasmopara helianthi f. helianthi",51
"51","Plasmopara ribicola",49
"52","Peronospora polygoni",48
"53","Peronospora aparines",47
"54","Peronospora pisi",47
"55","Peronospora oxybaphi",45
"56","Peronospora claytoniae",43
"57","Basidiophora simplex",42
"58","Peronospora borealis",39
"59","Peronospora americana",38
"60","Peronospora viciae",37
"61","Peronospora astragali",33
"62","Plasmopara affinis f. silphii",32
"63","Peronospora chenopodii",31
"64","Peronospora nemophilae",31
"65","Peronospora silenes",30
"66","Plasmopara illinoensis",29
"67","Paraperonospora sulphurea",28
"68","Peronospora obovata",28
"69","Peronospora calotheca",25
"70","Plasmopara megasperma",25
"71","Peronospora lamii",24
"72","Plasmopara angustiterminalis f. ambrosiae",24
"73","Peronospora canadensis",23
"74","Peronospora corydalis-intermediae",23
"75","Peronospora violae",23
"76","Hyaloperonospora floerkeae",22
"77","Peronospora sparsa",22
"78","Plasmopara helianthi f. patens",21
"79","Paraperonospora artemisiae-biennis",20
"80","Pseudoperonospora celtidis",20
"81","Peronospora chamaesycis",19
"82","Plasmopara cephalophora",19
"83","Peronospora plantaginis",18
"84","Peronospora saxifragae",18
"85","Plasmopara nivea",18
"86","Peronospora cynoglossi",17
"87","Plasmopara acalyphae",17
"88","Plasmopara latifolii",17
"89","Hyaloperonospora cakiles",16
"90","Peronospora antirrhini",16
"91","Peronospora polygoni-convolvuli",16
"92","Peronospora euphorbiae-glyptospermae",15
"93","Hyaloperonospora cardamines-laciniatae",14
"94","Peronospora hedeomatis",14
"95","Peronospora swinglei",14
"96","Peronospora schachtii",13
"97","Plasmopara destructor",13
"98","Plasmopara affinis f. affinis",12
"99","Hyaloperonospora arabidis-oxyphyllae",11
"100","Hyaloperonospora nasturtii-aquatici",11
"101","Hyaloperonospora hesperidis",10
"102","Peronospora androsaces",10
"103","Peronospora seymourii",10
"104","Peronospora melampyri",9
"105","Plasmopara constantinescui",9
"106","Plasmopara helianthi f. perennis",9
"107","Peronospora belbahrii",8
"108","Hyaloperonospora nasturtii-palustiris",7
"109","Peronosclerospora sorghi",7
"110","Peronospora calotheca var. galii-vaillantii",7
"111","Peronospora jacksonii",7
"112","Peronospora valerianellae",7
"113","Plasmopara gnaphalii",7
"114","Plasmopara gonolobi",7
"115","Plasmoverna sp",7
"116","Peronospora monolepidis",6
"117","Plasmopara portoricensis",6
"118","Sclerophthora cryophila",6
"119","Sclerospora farlowii",6
"120","Peronospora capsici",5
"121","Peronospora dipsaci",5
"122","Peronospora rumicis",5
"123","Peronospora stigmaticola",5
"124","Plasmopara cercidis",5
"125","Plasmopara epilobii",5
"126","Hyaloperonospora camelinae",4
"127","Hyaloperonospora cochleariae",4
"128","Hyaloperonospora sisymbrii-officinalis",4
"129","Paraperonospora leptosperma",4
"130","Peronospora arborescens",4
"131","Hyaloperonospora arabidis-glabrae",3
"132","Hyaloperonospora arabidopsidis",3
"133","Peronospora davisii",3
"134","Peronospora lotorum",3
"135","Peronospora mesembryanthemi",3
"136","Peronospora monardae",3
"137","Peronospora radii",3
"138","Plasmopara sp",3
"139","Plasmopara velutina",3
"140","Hyaloperonospora barbareae",2
"141","Hyaloperonospora daughtreyae",2
"142","Hyaloperonospora dentariae",2
"143","Hyaloperonospora galligena",2
"144","Hyaloperonospora iberidis",2
"145","Peronospora aestivalis f. lupulinae",2
"146","Peronospora cyparissiae",2
"147","Peronospora digitalidis",2
"148","Peronospora erigoni",2
"149","Peronospora ervi",2
"150","Peronospora giliae",2
"151","Peronospora hiemalis",2
"152","Peronospora jaapiana",2
"153","Peronospora lathyri-maritimi",2
"154","Peronospora mayorii",2
"155","Peronospora muralis",2
"156","Peronospora ranunculi",2
"157","Peronospora somniferi",2
"158","Peronospora valerianae",2
"159","Peronospora viciicola",2
"160","Plasmopara carlottae",2
"161","Plasmopara impatientis",2
"162","Sclerophthora gigaspora",2
"163","Basidiophora delawarensis",1
"164","Hyaloperonospora cheiranthi",1
"165","Hyaloperonospora erophilae",1
"166","Hyaloperonospora lobulariae",1
"167","Hyaloperonospora sisymbrii-sophiae",1
"168","Peronospora agrostemmatis",1
"169","Peronospora amaranthi",1
"170","Peronospora arthuri",1
"171","Peronospora cheiranthi",1
"172","Peronospora choi",1
"173","Peronospora ciceris",1
"174","Peronospora dianthi",1
"175","Peronospora dipsaci-silvestris",1
"176","Peronospora ducometii",1
"177","Peronospora fabae",1
"178","Peronospora fragariae",1
"179","Peronospora galii",1
"180","Peronospora kuewa",1
"181","Peronospora lathyri-palustris",1
"182","Peronospora lini",1
"183","Peronospora lithospermi",1
"184","Peronospora matthiolae",1
"185","Peronospora ranunculi-peduncularis",1
"186","Peronospora sepium",1
"187","Peronospora trigonellae",1
"188","Peronospora vexans",1
"189","Peronospora whippleae",1
"190","Plasmopara cissi",1
"191","Plasmopara lactucae-radicis",1
"192","Plasmopara myosotidis",1
"193","Plasmopara sphagneticolae",1
"194","Plasmopara vincetoxici",1
"195","Plasmoverna alpina",1
"196","Pseudoperonospora urticae",1
